Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,398,Kazakhstan,5610,Import Quantity,117,Oats,2000,2000,tonnes,5,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5622,Import Value,117,Oats,2000,2000,1000 US$,1,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5910,Export Quantity,117,Oats,2000,2000,tonnes,44312,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5922,Export Value,117,Oats,2000,2000,1000 US$,2942,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5610,Import Quantity,113,Rice,2000,2000,tonnes,121,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5622,Import Value,113,Rice,2000,2000,1000 US$,58,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5910,Export Quantity,113,Rice,2000,2000,tonnes,2162,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5922,Export Value,113,Rice,2000,2000,1000 US$,498,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5608,Import Quantity,2122,Sheep,2000,2000,Head,1265,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5622,Import Value,2122,Sheep,2000,2000,1000 US$,7,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5908,Export Quantity,2122,Sheep,2000,2000,Head,1000,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5922,Export Value,2122,Sheep,2000,2000,1000 US$,31,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5608,Import Quantity,2140,Swine / pigs,2000,2000,Head,1115,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5622,Import Value,2140,Swine / pigs,2000,2000,1000 US$,60,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5908,Export Quantity,2140,Swine / pigs,2000,2000,Head,100,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5922,Export Value,2140,Swine / pigs,2000,2000,1000 US$,3,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5610,Import Quantity,111,Wheat,2000,2000,tonnes,1517,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5622,Import Value,111,Wheat,2000,2000,1000 US$,308,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5910,Export Quantity,111,Wheat,2000,2000,tonnes,4989634,A,Official figure
TCL,Crops and livestock products,398,Kazakhstan,5922,Export Value,111,Wheat,2000,2000,1000 US$,453668,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5610,Import Quantity,115,Barley,2000,2000,tonnes,633486,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5622,Import Value,115,Barley,2000,2000,1000 US$,48845,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5910,Export Quantity,115,Barley,2000,2000,tonnes,539401,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5922,Export Value,115,Barley,2000,2000,1000 US$,44593,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5608,Import Quantity,2111,Cattle,2000,2000,Head,4049,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5622,Import Value,2111,Cattle,2000,2000,1000 US$,2842,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5908,Export Quantity,2111,Cattle,2000,2000,Head,6677,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5922,Export Value,2111,Cattle,2000,2000,1000 US$,2037,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5609,Import Quantity,2151,Chickens,2000,2000,1000 Head,2931,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5622,Import Value,2151,Chickens,2000,2000,1000 US$,5660,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5909,Export Quantity,2151,Chickens,2000,2000,1000 Head,804,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5922,Export Value,2151,Chickens,2000,2000,1000 US$,300,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5608,Import Quantity,2123,Goats,2000,2000,Head,0,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5622,Import Value,2123,Goats,2000,2000,1000 US$,0,A,Official figure
TCL,Crops and livestock products,643,Russian Federation,5908,Export Quantity,2123,Goats,2000,2000,Head,,M,"Missing value (data cannot exist, not applicable)"
TCL,Crops and livestock products,643,Russian Federation,5922,Export Value,2123,Goats,2000,2000,1000 US$,,O,Missing value
TCL,Crops and livestock products,643,Russian Federation,5610,Import Quantity,1199.02,Mixed grain,2000,2000,tonnes,,O,Missing value
TCL,Crops and livestock products,643,Russian Federation,5622,Import Value,1199.02,Mixed grain,2000,2000,1000 US$,,O,Missing value
TCL,Crops and livestock products,643,Russian Federation,5910,Export Quantity,1199.02,Mixed grain,2000,2000,tonnes,,O,Missing value
